kn
0.0
deviations
param,inde dev,comp dev
C(t=0),7.08355967077e-08,7.67389075063e-08
N(t=0),2.43809479272e-08,2.34170138835e-08
kn,nan,1.70260038599e-09
r (MAD),1.714146189e-06,1.71448074713e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.0099999291644,0.00999992326109
N(t=0),1.0,1.00000002438,1.00000002342
kn,0.0,nan,1.70260038599e-09
r0,1.1434282299326066,1.1434304052,1.14343040397
r1,2.4907194975678784,2.49072117484,2.49072117548
r2,0.22589661831449326,0.225897253484,0.225897250615
r3,1.0592820273263666,1.0592839571,1.05928395599
r4,1.7685692462953173,1.76857180431,1.76857180445
r5,0.0,1.93667637406e-06,1.93661980111e-06
r6,0.0,1.98087898963e-06,1.98082059535e-06
r7,0.0,1.97964256585e-06,1.97958422256e-06
r8,0.4876660289621736,0.487666583589,0.487666591196
