kn
0.12
deviations
param,inde dev,comp dev
C(t=0),0.00985095855439,2.06378307449e-07
N(t=0),0.506811709862,3.72911582502e-07
kn,nan,2.7135994482e-07
r (MAD),0.361493889939,4.79898734552e-06
params
param,true,inde est,comp est
C(t=0),0.01,0.000149041445607,0.00999979362169
N(t=0),1.0,1.50681170986,0.999999627088
kn,0.12,nan,0.12000027136
r0,1.1434282299326066,1.20778105599,1.14343533762
r1,2.4907194975678784,3.29008869762,2.49072970608
r2,0.22589661831449326,0.252631910978,0.22589962992
r3,1.0592820273263666,1.33560334749,1.05928778551
r4,1.7685692462953173,3.03425198078,1.76857604658
r5,0.0,0.241884175727,4.26859199436e-06
r6,0.0,0.241884277172,8.49700085911e-07
r7,0.0,0.241883932369,2.43078689114e-06
r8,0.4876660289621736,0.392334778214,0.487668784496
