kn
0.0
deviations
param,inde dev,comp dev
C(t=0),8.60581827553e-08,0.00926915976494
N(t=0),1.04776974874e-08,0.440794178015
kn,nan,0.425182224618
r (MAD),1.3885522485e-06,0.575457352268
params
param,true,inde est,comp est
C(t=0),0.01,0.00999991394182,0.0192691597649
N(t=0),1.0,0.999999989522,0.559205821985
kn,0.0,nan,0.425182224618
r0,1.1434282299326066,1.14343026501,3.18564683819
r1,2.4907194975678784,2.49072291209,2.6156150479
r2,0.22589661831449326,0.225897191166,0.933784499962
r3,1.0592820273263666,1.05928378004,2.253855256
r4,1.7685692462953173,1.76857289426,2.02700658067
r5,0.0,1.80163633608e-08,0.0
r6,0.0,1.80163586805e-08,0.0
r7,0.0,1.80163586797e-08,0.0
r8,0.4876660289621736,0.487667048749,1.3387695961
