	One N_0	Two N_0
Edge b COVS (HIS3)	0.22367275819099214	0.21275600031594935
Full plate obj fun	0.4786988252597449	0.47110933902365326
Internal ojb fun	0.20558387546922521	0.19397347580070956
Depth 1 obj funs	0.27311494979051926	0.27713586322294842
Avg internal obj fun	0.00066748011515982344	0.00062978401233995077
Avg edge obj fun	0.0035936177604015693	0.0036465245160914265
Avg ring 2 obj fun	0.00095443335514462408	0.00079750038998012505
Avg % error per culture (internal)	0.13943633866192268	0.13368107149927053
Avg % error per culture (edge)	0.75070536437010282	0.77402934181874561
Avg % error per culture (ring 2)	0.19938075983928785	0.16928137990915193
Total % contribution to obj fun (edge)	57.053607692127812	58.826229978224667
