Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	Date.Time	Inoc.Time	Treatments	Medium	Screen.Name	RepQuad	MasterPlate.Number	Timeseries.order	Library.Name	ORF	Gene	ScreenID	Expt.Time	Growth
1	1	513	342	380	0	0.362721392109451	0	-0.0140613695211487	0.0025691270274276	-0.017661366648906	0.0209116321803964	0.038750077500155	55.5718762463677	54.4809602491786	52.1699808178072	52.7020149608682	51.8959657543131	50.3968629740131	51	51	50	51	50	50	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0
2	1	900	340	380	0.00205420248423638	0.503075895040679	0.00470514818250312	-0.00229666363879575	0.000920277884451735	-0.00901039618992167	0.0343596169799537	0.0356018489814757	57.6134580360688	56.9386254399058	55.4491763320416	53.2866054842377	53.2853716693931	52.7551778634209	54	54	54	52	53	52	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.00205420248423638
3	1	1287	337	380	0.0128989512281952	0.520139706946081	0.0119368245985265	0.00857392208328605	0.00112333328866061	0.000495500284879192	0.0547741532140163	0.0286716128987814	61.2490861411316	60.4382284382284	58.3069771137953	55.0104512109336	55.2190303917768	54.6950198831417	57	57	56	54	55	54	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0128989512281952
4	1	1675	335	380	0.0175608037443826	0.528068833915446	0.01453906220697	0.0133896108710082	0.00102890408123425	0.00554647361610621	0.0778763548530318	0.0242282706787636	62.2674059095949	61.6425803926684	59.68676537734	56.0398505240417	56.4140221294485	55.6793857472338	58	58	57	56	56	55	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0175608037443826
5	1	2062	333	380	0.018088334292439	0.509482574520705	0.0145321806355858	0.0133896108710082	0.00103074982433592	0.00554647361610621	0.0858612791387886	0.022664489773424	62.445745500764	61.9376800032451	59.9159917249212	56.2580332565586	56.63747823156	55.8508510757823	58	58	57	56	56	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.018088334292439
6	1	2449	331	380	0.0179267310564295	0.521731043462087	0.013720831778021	0.0105974469473332	0.00103830725819875	0.00667587831988226	0.118496848988974	0.0195231501574114	61.7099227569816	61.4131247111639	59.5705156136529	56.6235704203036	57.0591997234465	56.1747616166854	57	58	57	56	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0179267310564295
7	1	2836	330	380	0.0221646663151382	0.52239237811809	0.0169410282773054	0.0145190155747842	0.00113183466821808	0.00946804224355719	0.0466422806238483	0.0311378400534579	63.6167398557318	62.9156545476125	60.546742097559	57.2483484782922	57.5906101254868	56.5935381508726	58	59	58	57	57	56	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0221646663151382
8	1	3223	334	380	0.0245733944273533	0.518231480907406	0.0186443868662522	0.0184405842022352	0.00100940332685342	0.0105974469473332	0.049253500359133	0.0301802825827874	64.7065681204887	63.7710130671169	61.2186183152326	57.6442073955444	57.9164211971287	56.9413589956244	60	60	59	57	58	57	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0245733944273533
9	1	3605	306	380	0.0394902440164338	0.533573067146134	0.0320948038061801	0.0397111715997919	0.00402963096681124	0.0135425577919641	0.0115521541520433	0.0632332375775863	71.7569654246391	69.7840912025202	65.8376197484959	58.7336021386267	58.7307811599982	57.8288655530447	65	64	62	58	58	58	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.0394902440164338
10	1	3998	322	380	0.033238240517343	0.364312728625457	0.0223725093513775	0.057809232357298	0.00222376223784761	0.016417059338188	0.0200721754961705	0.0396387459441586	72.4632213902125	70.0028931245745	65.6758187731639	59.1826565666417	59.0151392004508	57.9546907680137	71	69	65	59	59	58	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	1	5	1	ConorLib	HIS3	HIS3		0.342048611111111	0.033238240517343
