Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	343.5	285.0	136	0.039483359948527579	0.30252011295220843	0.027540877217541115	0.058431755558607773	0.011799373702916158	0.010647451407259732	0.06831301613842948	0.054451489157653576	110.1005635787249	118.67418104966538	112.77914758717858	86.755098922924148	100.4924757466962	102.29157436406692	100.0	110.0	109.0	85.0	99.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
2	1	487.5	282.0	136	0.023998647882892774	0.31466780329266342	0.015671866624070104	0.058557236659251152	0.0017869669677356306	0.0081925516006574033	1514.6323438450056	0.00037295540518940808	95.44260074500508	108.86386725364036	109.50541821876058	82.841483324263393	99.924667651403254	104.35761486433958	98.0	111.0	111.0	82.0	99.0	104.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
3	1	620.5	296.0	136	0.024719743655544441	0.34215994458948268	0.013996365983747809	0.034706253394851644	0.00071984504516284665	0.012027833271919659	0.0	0.0	90.632980379943945	107.2488321395204	110.53145437558393	82.432169757835908	101.42998299181987	106.96501174374342	88.0	106.0	110.0	81.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
4	1	761.5	282.0	136	0.039625540756128758	0.51228088869945121	0.02753844100220031	0.042784705112452748	0.0011153386923969763	0.019870970526821619	0.0	0.0	93.417888715548628	110.70535621424857	114.17389495579823	83.976512999781519	103.79833952370548	109.69248415993009	90.0	109.0	113.0	83.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
5	1	900.5	293.0	136	0.032803292378638001	0.35350844477596038	0.016265355615309288	0.043400382291527505	0.00043573619761289614	0.021937638868963164	0.0	0.0	90.088922381311235	109.10972117558403	113.79623210248681	83.377534201417504	104.34077797923192	110.25572770726883	90.0	109.0	113.0	82.0	103.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
6	1	1025.5	298.0	136	0.031432751974547112	0.36714795673717299	0.013985507776036969	0.030867052309143925	0.0003098657540528753	0.023023915054241964	0.0	0.0	86.957335655202442	107.4785952691917	112.69525468001741	83.546893416400067	104.99814783633609	110.87388449233877	85.0	106.0	112.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
7	1	1167.5	286.0	136	0.036126874320148467	0.39538600884437103	0.018649260219863809	0.046384702240210102	0.00039923801247627056	0.025816064018319779	0.0	0.0	89.491577954453575	109.8008354669182	114.39010914971028	83.539742685935849	105.51559746210786	111.22074374339091	89.0	110.0	114.0	82.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
8	1	1308.5	282.0	136	0.037486315455579657	0.45452608023869145	0.021052929599516542	0.035682726137268923	0.00049808569615985708	0.025859207496414145	0.0	0.0	89.164459031766498	109.67717735318251	113.98616809283789	83.802988865012694	105.90642703653057	111.24623949990233	86.0	108.0	113.0	83.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
9	1	1445.5	282.0	136	0.035952668012771249	0.46337045127604026	0.021120827296344086	0.041612141970985221	0.00044014741590397695	0.023749395676178238	0.0	0.0	88.752443371277451	109.65240887662412	113.54455559388295	82.87400714853058	105.4397339158062	110.52075059571088	87.0	109.0	113.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
10	1	1571.5	288.0	136	0.031274020780184361	0.55948638712771059	0.019707461075129613	0.02771410778172358	0.00028874146318055453	0.021894495390868799	0.0	0.0	85.626797447862103	107.14617655461385	111.4811922674031	82.743468795355582	105.01705370101597	109.94847605224963	83.0	106.0	111.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
