Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	Date.Time	Inoc.Time	Treatments	Medium	Screen.Name	RepQuad	MasterPlate.Number	Timeseries.order	Library.Name	ORF	Gene	ScreenID	Expt.Time	Growth
1	1	343.5	285	136	0.0394833599485276	0.302520112952208	0.0275408772175411	0.0584317555586078	0.0117993737029162	0.0106474514072597	0.0683130161384295	0.0544514891576536	110.100563578725	118.674181049665	112.779147587179	86.7550989229241	100.492475746696	102.291574364067	100	110	109	85	99	101	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0394833599485276
2	1	487.5	282	136	0.0239986478828928	0.314667803292663	0.0156718666240701	0.0585572366592512	0.00178696696773563	0.0081925516006574	1514.63234384501	0.000372955405189408	95.4426007450051	108.86386725364	109.505418218761	82.8414833242634	99.9246676514033	104.35761486434	98	111	111	82	99	104	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0239986478828928
3	1	620.5	296	136	0.0247197436555444	0.342159944589483	0.0139963659837478	0.0347062533948516	0.000719845045162847	0.0120278332719197	0	0	90.6329803799439	107.24883213952	110.531454375584	82.4321697578359	101.42998299182	106.965011743743	88	106	110	81	101	107	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0247197436555444
4	1	761.5	282	136	0.0396255407561288	0.512280888699451	0.0275384410022003	0.0427847051124527	0.00111533869239698	0.0198709705268216	0	0	93.4178887155486	110.705356214249	114.173894955798	83.9765129997815	103.798339523705	109.69248415993	90	109	113	83	103	109	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0396255407561288
5	1	900.5	293	136	0.032803292378638	0.35350844477596	0.0162653556153093	0.0434003822915275	0.000435736197612896	0.0219376388689632	0	0	90.0889223813112	109.109721175584	113.796232102487	83.3775342014175	104.340777979232	110.255727707269	90	109	113	82	103	110	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.032803292378638
6	1	1025.5	298	136	0.0314327519745471	0.367147956737173	0.013985507776037	0.0308670523091439	0.000309865754052875	0.023023915054242	0	0	86.9573356552024	107.478595269192	112.695254680017	83.5468934164001	104.998147836336	110.873884492339	85	106	112	82	104	111	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0314327519745471
7	1	1167.5	286	136	0.0361268743201485	0.395386008844371	0.0186492602198638	0.0463847022402101	0.000399238012476271	0.0258160640183198	0	0	89.4915779544536	109.800835466918	114.39010914971	83.5397426859358	105.515597462108	111.220743743391	89	110	114	82	105	111	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0361268743201485
8	1	1308.5	282	136	0.0374863154555797	0.454526080238691	0.0210529295995165	0.0356827261372689	0.000498085696159857	0.0258592074964141	0	0	89.1644590317665	109.677177353183	113.986168092838	83.8029888650127	105.906427036531	111.246239499902	86	108	113	83	105	111	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0374863154555797
9	1	1445.5	282	136	0.0359526680127712	0.46337045127604	0.0211208272963441	0.0416121419709852	0.000440147415903977	0.0237493956761782	0	0	88.7524433712775	109.652408876624	113.544555593883	82.8740071485306	105.439733915806	110.520750595711	87	109	113	82	105	110	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0359526680127712
10	1	1571.5	288	136	0.0312740207801844	0.559486387127711	0.0197074610751296	0.0277141077817236	0.000288741463180555	0.0218944953908688	0	0	85.6267974478621	107.146176554614	111.481192267403	82.7434687953556	105.017053701016	109.94847605225	83	106	111	81	104	109	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	1	15	1	BooneSDLV2	YOR202W	HIS3	P15_cdc13-1	0.0238888888888889	0.0312740207801844
