Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	Expt.Time	ORF	Gene
1	1	340.5	285.5	137	0.041239982672	0.303918016666	0.028966506148	0.000230795678147	0.0127186584187	4.5028633076e-05	0.0583029951585	0.0582267998551	111.376021798	119.76260218	113.421491826	86.9125585545	100.624953528	102.373038888	100.0	111.0	109.0	86.0	99.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
2	1	477.5	280.5	137	0.0258600597534	0.321153149423	0.0178121465205	0.000241614634779	0.00212404333334	2.85580579817e-05	3.70864825979	0.00750478753688	97.2755842063	110.217566479	110.420950846	82.9646996035	99.7894175053	104.107654773	100.0	112.0	111.0	82.0	99.0	104.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
3	1	620.5	296.5	137	0.0251096379005	0.341286682884	0.0144470390756	0.00013603977137	0.000785275783714	4.71047904959e-05	0.0	0.0	91.0894752806	107.602820746	110.735365484	82.3973442288	101.407794453	106.951913255	89.0	106.0	110.0	81.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
4	1	751.5	280.5	137	0.0415245848858	0.523523627141	0.0297331684353	0.00018217587287	0.00125293037027	7.78621914955e-05	9.78061240107	0.00590031571865	94.3625308947	111.455758774	114.663470094	84.0474690419	103.766999783	109.623723658	91.0	109.0	114.0	83.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
5	1	899.5	292.5	137	0.0335687633154	0.359971015993	0.0172103991318	0.00017757770337	0.000489693961259	8.59667732294e-05	0.0	0.0	90.670596693	109.546800863	114.080805176	83.3793465955	104.338347081	110.249716966	90.0	109.0	114.0	82.0	103.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
6	1	1024.5	297.5	137	0.0320147937312	0.372133947518	0.0147223555139	0.000131933684619	0.000348445556546	9.02266798383e-05	0.0	0.0	87.4297635605	107.830458971	112.967872045	83.5485120765	104.992498557	110.872970077	85.0	107.0	113.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
7	1	1166.5	285.5	137	0.0369771020831	0.400548625848	0.0196460599086	0.000185343904884	0.000472464032961	0.000101176283619	0.0	0.0	90.098333118	110.259465047	114.679932808	83.5490416163	105.518476947	111.227508202	90.0	110.0	114.0	83.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
8	1	1299.5	280.5	137	0.0394011810687	0.465089798665	0.0231749710096	0.00016662809959	0.000708164648159	0.000103852232886	0.0	0.0	90.3637881148	110.500890274	114.48787002	83.8662796323	105.960812772	111.300725689	88.0	109.0	114.0	83.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
9	1	1436.5	280.5	137	0.0377648581196	0.475700015527	0.0231555014147	0.000181837609979	0.000601401394156	9.32408919953e-05	0.0	0.0	89.7142857143	110.419758459	114.031552606	82.9596248766	105.482329714	110.61757157	89.0	110.0	114.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
10	1	1573.5	280.5	137	0.035428960588	0.609906319549	0.0246996474918	0.000119569196276	0.000506451176246	9.00574897282e-05	0.0	0.0	87.3391887305	108.411659878	112.305244399	83.1409048693	105.308478174	110.231922516	84.0	106.0	111.0	82.0	104.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
