Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	343.5	285.0	136	0.057724893367980035	0.30252011295220843	0.038547240398041499	0.092259204384817939	0.0092899816769323809	0.022412157289612673	0.31228380257843602	0.025467526240076723	120.12275449101796	127.82229658330398	120.76946107784431	89.872125888014665	103.0873118936674	103.9585211213811	110.0	119.0	115.0	89.0	102.0	103.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
2	1	487.5	282.0	136	0.048913807733112505	0.31466780329266342	0.032084969216274732	0.097031764654042826	0.0018435881299802407	0.02176901429022542	4.7498870302979377	0.006659917949810858	110.93125634947511	121.7534710463935	119.18540467321368	87.253440099510229	102.86045246054576	105.41887584544818	110.0	120.0	117.0	86.0	102.0	105.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
3	1	620.5	296.0	136	0.060329148595079075	0.34215994458948268	0.040915188260117134	0.090039589121720512	0.0032960713958559624	0.029376837082428237	0.27675319645203911	0.028770845543182908	113.63391466832762	126.86483961382747	125.17876051074431	87.080019437920143	104.57690127156394	108.1211630355552	107.0	119.0	119.0	87.0	104.0	108.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
4	1	761.5	282.0	136	0.08681260316308527	0.51228088869945121	0.066970649837667776	0.10864352361543989	0.0044119281042863329	0.041655285449079586	0.20538485923935929	0.040865256540039425	116.03088923556942	129.88257930317212	128.29672386895476	89.322591216954336	107.62693904304129	111.52315927463404	110.0	124.0	123.0	90.0	108.0	112.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
5	1	900.5	293.0	136	0.066410768405578274	0.35350844477596038	0.040046961005856772	0.086243531514107158	0.0027958228627088773	0.038863136485001767	0.50832415196630454	0.021578134157387182	109.8120572720422	125.87249434815374	126.23195177091183	88.337069391791658	107.98631943299819	112.47371023570133	103.0	119.0	121.0	88.0	108.0	112.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
6	1	1025.5	298.0	136	0.075802261207973454	0.36714795673717299	0.048587442525840782	0.096792530776898214	0.0054592971884824945	0.042270962628154343	0.15231736644799629	0.040172625073259097	114.7789870846031	130.94195327238427	129.7203598897112	88.63546051523825	108.68993096480889	113.04201043946793	105.0	122.0	123.0	88.0	108.0	113.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
7	1	1167.5	286.0	136	0.072867371662500971	0.39538600884437103	0.046520230882722724	0.085921960014413531	0.0041295760538206184	0.041545482006218062	0.25904176758099839	0.031967606159092117	110.28149845034362	127.35224363293356	127.16399407087994	88.287892139584073	109.04688050757842	113.39813182939724	102.0	119.0	121.0	88.0	109.0	113.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
8	1	1308.5	282.0	136	0.08014539422652539	0.45452608023869145	0.0552965678460959	0.088949393521996253	0.0047108073107036122	0.043400382291527505	0.19898378433112227	0.039107038201289357	111.49431485171726	128.41554331262455	127.45504630172313	89.008693104121903	109.53887478023051	113.39822230904474	103.0	120.0	121.0	89.0	109.0	113.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
9	1	1445.5	282.0	136	0.084838549480281536	0.46337045127604026	0.060913032064078949	0.093639586249477866	0.0050139326610719294	0.042784705112452748	0.12996926494826513	0.04885715807981246	114.22950442681385	130.99126135449006	128.93687478440842	88.824960285941216	109.37231930103256	112.56850675138999	104.0	121.0	122.0	88.0	109.0	112.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
10	1	1571.5	288.0	136	0.11582536871301786	0.55948638712771059	0.097395626490953388	0.1669337433898731	0.0089733836227162203	0.038863136485001767	0.083649094424080125	0.066918855559699508	127.075516617465	141.72421674126275	135.3220645652795	88.474238026124823	108.63691340106435	111.12856797290759	125.0	140.0	134.0	88.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
11	1	1718.5	282.0	136	0.07953873317248468	0.44973093931482766	0.057493790448394387	0.093851354306309975	0.0045700757881506644	0.037690573343534241	0.19959456337731898	0.038840641483296925	113.42566046676934	130.1188247837934	127.44899893377561	87.762296669248641	108.27081719597211	110.91092176607282	105.0	122.0	121.0	87.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
12	1	1843.5	293.0	136	0.093367285769402453	0.49949384623581439	0.073094621991044731	0.10932586075928179	0.0059176282253751407	0.038541564985308141	0.15745226971782184	0.046086632212691138	118.97568	134.77077333333332	130.31370666666666	87.858207366404088	108.44390036193315	110.75729188843943	110.0	125.0	123.0	87.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
13	1	1994.5	282.0	136	0.097280833954994331	0.57989237572593111	0.079760268953442529	0.1241180300684117	0.0040430811134402568	0.039098421028506671	0.31209184328065015	0.035270925462198309	116.55705622932746	132.50147004777656	128.67107680999632	88.172352568167412	108.8148383005707	110.70894102726696	113.0	129.0	125.0	88.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
14	1	2125.5	286.0	136	0.10335435909871879	0.55271991049070279	0.085463500155266783	0.12836117019555629	0.006280994736449848	0.037455288800029338	0.20167125930261945	0.042836592253183439	121.86658955080007	136.6871023713129	131.39878542510121	87.832519356759974	108.27373436569387	110.57105419892794	116.0	130.0	125.0	87.0	108.0	110.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
15	1	2265.5	281.0	136	0.092401122739123931	0.53433853694922484	0.073008767566965782	0.11446313600629465	0.0048708557987734704	0.038863136485001767	0.21256220423580391	0.041025094570834884	116.52886628776548	132.12912553594575	128.62827799381793	88.240503432494279	108.6725400457666	111.12826086956522	111.0	127.0	124.0	87.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
16	1	2389.5	291.0	136	0.087753870734551376	0.45378016942831262	0.064473408336986185	0.097561154876928846	0.0065483995155036327	0.039478813664076524	0.13542317428297751	0.047365336459054823	117.55993894563814	133.65116825173183	130.27040037571916	88.333300819352317	108.92352711666017	111.77633632461959	106.0	122.0	121.0	88.0	108.0	112.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
17	1	2539.5	282.0	136	0.084726960235015664	0.50487505993926152	0.063606053892516598	0.096431765132749925	0.0045621152089378794	0.041376857427480318	0.25904518743673371	0.036123394959774097	113.25	129.44016462642466	127.25116082735332	88.50747874744431	108.81911115893683	111.93920154955343	105.0	122.0	121.0	88.0	108.0	112.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
18	1	2676.5	282.0	136	0.092635652121464823	0.53481805104161118	0.072922954517189581	0.10418861543146317	0.0050977119185883508	0.041612141970985221	0.20262967550803485	0.042037402099206138	116.48774656306037	131.96991432556285	128.92299262801356	88.656969419310499	108.66029091742068	111.73542549536135	108.0	124.0	123.0	88.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
19	1	2812.5	282.0	136	0.085153021822621189	0.48196494219191222	0.063785744032191741	0.10568272015343008	0.0042406076204627597	0.041141542964781175	0.29100899475838227	0.033299589749054288	115.5957329206279	130.81339818704399	128.25735131549857	88.550961637354732	108.2429291370976	111.63591484109843	108.0	124.0	122.5	88.0	108.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
20	1	2939.5	284.0	136	0.083321876137348094	0.46214502637327509	0.062330495500019706	0.10035333376020091	0.0052382640472739689	0.038349394000703356	0.26694854956994979	0.03404550055943311	116.79801706248558	131.25028821766199	128.50680193682268	88.424368499257056	107.51035165923724	110.77691926696384	108.0	122.0	121.0	88.0	107.0	111.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
21	1	3081.5	285.0	136	0.066878901513207106	0.38675475518141617	0.045804524855586531	0.094086668769009119	0.0034592216644014607	0.033812148194177626	0.98058892007130583	0.016250199797538493	112.67984570877532	126.86802589888414	125.1009780961565	87.793657688966121	106.0981754995656	109.27306689834926	106.0	121.0	120.0	88.0	106.0	109.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
22	1	3212.5	293.0	136	0.050099048765306499	0.25137194309766103	0.031645289122817867	0.11054156737884367	0.0040657319571205247	0.022984690990593065	1.8503834636417895	0.0095370025041291492	115.27999152183128	128.59771089444681	126.05574395930479	86.213436766066465	103.25414561241193	106.33051028396555	111.0	125.0	123.0	86.0	103.0	106.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
23	1	3360.5	282.0	136	0.040507196938586905	0.2215355106825084	0.024505009637143242	0.097267049197547722	0.0021836109424171381	0.015419981757290369	3.1398935769788738	0.0068730353242048058	112.32876382876383	124.30928330928332	121.7080327080327	86.743617822188767	101.71596742180549	103.7025528711245	110.0	120.0	118.0	86.0	101.0	103.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
24	1	3496.5	282.0	136	0.043328568898982192	0.2239863604880388	0.028232565306633213	0.10931802193039086	0.0052697778953380891	0.014569020034710712	1.4481242855943082	0.010176354627310992	117.91555661274977	127.91198858230257	123.02212178877259	87.970957775489182	100.97638173704085	101.82485410230004	113.0	124.0	120.0	87.0	100.0	101.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
1	2	350.5	418.0	136	0.03665062332192083	0.2251585060472055	0.030388660112194436	0.116553320835109	0.0065743759735062326	0.0063611678020207615	0.71254789701031629	0.014545260802386915	118.88854708944629	130.67203028868906	126.21036441079035	82.928969263563232	98.753283366568112	101.05941002544179	113.0	126.0	124.0	83.0	98.0	101.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
2	2	479.5	421.0	136	0.27096469432787962	0.86802706590654799	0.26971228767145355	0.33950233015074932	0.0065911183306034881	0.0024395991745697811	0.99328198708076831	0.024188821993713038	171.23502332433097	175.48066535723055	151.32248956543089	82.683891804602339	99.466693580944693	101.17884537747275	180.0	183.0	155.0	80.0	98.0	101.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
3	2	624.5	418.0	136	0.057735409178079442	0.25531461452394905	0.042653512278844487	0.16211998439017944	0.0077351323660543869	0.018741550863448458	0.03652553836822791	0.068410677180457138	126.78067612687813	139.16214524207012	133.58994156928213	84.24497388566931	102.44222651498892	105.83780496530014	125.0	138.0	133.0	83.0	102.0	106.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
4	2	761.5	418.0	136	0.06949580033610242	0.26676967339762375	0.047994727681685743	0.17145531153861696	0.01083883093138671	0.026584688118350418	0.037230661340885429	0.069263146678032933	129.40822848012783	142.62152985819853	137.62492510485322	85.653684057549768	105.02528702223513	109.13304752216247	126.0	140.0	137.0	85.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-13_10-01-59
