	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene
0	1	1	343.5	285.0	136	0.03948335994852757	0.30252011295220843	0.027540877217541115	0.05843175555860776	0.011799373702916158	0.010647451407259732	0.06831301613842948	0.054451489157653576	110.1005635787249	118.67418104966538	112.77914758717857	86.75509892292416	100.4924757466962	102.29157436406693	100.0	110.0	109.0	85.0	99.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
1	2	1	487.5	282.0	136	0.02399864788289277	0.3146678032926635	0.015671866624070104	0.05855723665925115	0.0017869669677356304	0.008192551600657403	1514.6323438450054	0.0003729554051894081	95.44260074500508	108.86386725364036	109.50541821876058	82.8414833242634	99.92466765140324	104.35761486433958	98.0	111.0	111.0	82.0	99.0	104.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
2	3	1	620.5	296.0	136	0.02471974365554444	0.3421599445894827	0.013996365983747807	0.034706253394851644	0.0007198450451628467	0.012027833271919659	0.0	0.0	90.63298037994394	107.2488321395204	110.53145437558392	82.43216975783591	101.42998299181988	106.96501174374342	88.0	106.0	110.0	81.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
3	4	1	761.5	282.0	136	0.039625540756128765	0.5122808886994512	0.02753844100220031	0.04278470511245274	0.0011153386923969763	0.019870970526821616	0.0	0.0	93.41788871554864	110.70535621424857	114.17389495579823	83.97651299978152	103.79833952370548	109.69248415993007	90.0	109.0	113.0	83.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
4	5	1	900.5	293.0	136	0.032803292378638	0.3535084447759604	0.01626535561530929	0.04340038229152751	0.00043573619761289614	0.021937638868963164	0.0	0.0	90.08892238131122	109.10972117558406	113.7962321024868	83.3775342014175	104.34077797923193	110.25572770726885	90.0	109.0	113.0	82.0	103.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
5	6	1	1025.5	298.0	136	0.03143275197454711	0.36714795673717293	0.013985507776036969	0.030867052309143925	0.0003098657540528753	0.023023915054241964	0.0	0.0	86.95733565520244	107.4785952691917	112.69525468001741	83.54689341640007	104.99814783633607	110.87388449233877	85.0	106.0	112.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
6	7	1	1167.5	286.0	136	0.036126874320148473	0.39538600884437103	0.01864926021986381	0.046384702240210095	0.00039923801247627056	0.025816064018319776	0.0	0.0	89.49157795445356	109.8008354669182	114.39010914971027	83.53974268593586	105.51559746210786	111.22074374339093	89.0	110.0	114.0	82.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
7	8	1	1308.5	282.0	136	0.03748631545557966	0.4545260802386914	0.021052929599516542	0.03568272613726892	0.0004980856961598571	0.025859207496414145	0.0	0.0	89.1644590317665	109.6771773531825	113.98616809283787	83.80298886501268	105.90642703653057	111.2462394999023	86.0	108.0	113.0	83.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
8	9	1	1445.5	282.0	136	0.03595266801277125	0.4633704512760402	0.021120827296344086	0.04161214197098522	0.00044014741590397695	0.02374939567617824	0.0	0.0	88.75244337127745	109.65240887662412	113.54455559388296	82.87400714853058	105.4397339158062	110.52075059571087	87.0	109.0	113.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
9	10	1	1571.5	288.0	136	0.03127402078018436	0.5594863871277106	0.019707461075129613	0.02771410778172358	0.00028874146318055453	0.0218944953908688	0.0	0.0	85.62679744786209	107.14617655461385	111.48119226740309	82.74346879535558	105.01705370101595	109.94847605224965	83.0	106.0	111.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.02388888888888889	YOR202W	HIS3
