Library	ORF 	Plate	Row	Column	Notes
DaveLib	HIS3	1	1	1	
DaveLib	HIS3	1	1	2	
DaveLib	HIS3	1	1	3	
DaveLib	HIS3	1	1	4	
DaveLib	HIS3	1	1	5	
DaveLib	HIS3	1	1	6	
DaveLib	HIS3	1	1	7	
DaveLib	HIS3	1	1	8	
DaveLib	HIS3	1	1	9	
DaveLib	HIS3	1	1	10	
DaveLib	HIS3	1	1	11	
DaveLib	HIS3	1	1	12	
DaveLib	BLANK	1	2	1	
DaveLib	BLANK	1	2	2	
DaveLib	BLANK	1	2	3	
DaveLib	BLANK	1	2	4	
DaveLib	BLANK	1	2	5	
DaveLib	BLANK	1	2	6	
DaveLib	BLANK	1	2	7	
DaveLib	BLANK	1	2	8	
DaveLib	BLANK	1	2	9	
DaveLib	BLANK	1	2	10	
DaveLib	BLANK	1	2	11	
DaveLib	BLANK	1	2	12	
DaveLib	HIS3	1	3	1	
DaveLib	HIS3	1	3	2	
DaveLib	HIS3	1	3	3	
DaveLib	HIS3	1	3	4	
DaveLib	HIS3	1	3	5	
DaveLib	HIS3	1	3	6	
DaveLib	HIS3	1	3	7	
DaveLib	HIS3	1	3	8	
DaveLib	HIS3	1	3	9	
DaveLib	HIS3	1	3	10	
DaveLib	HIS3	1	3	11	
DaveLib	HIS3	1	3	12	
DaveLib	HIS3	1	4	1	
DaveLib	HIS3	1	4	2	
DaveLib	HIS3	1	4	3	
DaveLib	HIS3	1	4	4	
DaveLib	HIS3	1	4	5	
DaveLib	HIS3	1	4	6	
DaveLib	HIS3	1	4	7	
DaveLib	HIS3	1	4	8	
DaveLib	HIS3	1	4	9	
DaveLib	HIS3	1	4	10	
DaveLib	HIS3	1	4	11	
DaveLib	HIS3	1	4	12	
DaveLib	HTZ1	1	5	1	
DaveLib	HTZ1	1	5	2	
DaveLib	HTZ1	1	5	3	
DaveLib	HTZ1	1	5	4	
DaveLib	HTZ1	1	5	5	
DaveLib	HTZ1	1	5	6	
DaveLib	HTZ1	1	5	7	
DaveLib	HTZ1	1	5	8	
DaveLib	HTZ1	1	5	9	
DaveLib	HTZ1	1	5	10	
DaveLib	HTZ1	1	5	11	
DaveLib	HTZ1	1	5	12	
DaveLib	BLANK	1	6	1	
DaveLib	BLANK	1	6	2	
DaveLib	BLANK	1	6	3	
DaveLib	BLANK	1	6	4	
DaveLib	BLANK	1	6	5	
DaveLib	BLANK	1	6	6	
DaveLib	BLANK	1	6	7	
DaveLib	BLANK	1	6	8	
DaveLib	BLANK	1	6	9	
DaveLib	BLANK	1	6	10	
DaveLib	BLANK	1	6	11	
DaveLib	BLANK	1	6	12	
DaveLib	HTZ1	1	7	1	
DaveLib	HTZ1	1	7	2	
DaveLib	HTZ1	1	7	3	
DaveLib	HTZ1	1	7	4	
DaveLib	HTZ1	1	7	5	
DaveLib	HTZ1	1	7	6	
DaveLib	HTZ1	1	7	7	
DaveLib	HTZ1	1	7	8	
DaveLib	HTZ1	1	7	9	
DaveLib	HTZ1	1	7	10	
DaveLib	HTZ1	1	7	11	
DaveLib	HTZ1	1	7	12	
DaveLib	HTZ1	1	8	1	
DaveLib	HTZ1	1	8	2	
DaveLib	HTZ1	1	8	3	
DaveLib	HTZ1	1	8	4	
DaveLib	HTZ1	1	8	5	
DaveLib	HTZ1	1	8	6	
DaveLib	HTZ1	1	8	7	
DaveLib	HTZ1	1	8	8	
DaveLib	HTZ1	1	8	9	
DaveLib	HTZ1	1	8	10	
DaveLib	HTZ1	1	8	11	
DaveLib	HTZ1	1	8	12	
ConorLib	HIS3	1	1	1	
ConorLib	HIS3	1	1	2	
ConorLib	HIS3	1	1	3	
ConorLib	HIS3	1	1	4	
ConorLib	HIS3	1	1	5	
ConorLib	HIS3	1	1	6	
ConorLib	HIS3	1	1	7	
ConorLib	HIS3	1	1	8	
ConorLib	HIS3	1	1	9	
ConorLib	HIS3	1	1	10	
ConorLib	HIS3	1	1	11	
ConorLib	HIS3	1	1	12	
ConorLib	SPE1	1	2	1	
ConorLib	SPE1	1	2	2	
ConorLib	SPE1	1	2	3	
ConorLib	SPE1	1	2	4	
ConorLib	SPE1	1	2	5	
ConorLib	SPE1	1	2	6	
ConorLib	SPE1	1	2	7	
ConorLib	SPE1	1	2	8	
ConorLib	SPE1	1	2	9	
ConorLib	SPE1	1	2	10	
ConorLib	SPE1	1	2	11	
ConorLib	SPE1	1	2	12	
ConorLib	HIS3	1	3	1	
ConorLib	HIS3	1	3	2	
ConorLib	HIS3	1	3	3	
ConorLib	HIS3	1	3	4	
ConorLib	HIS3	1	3	5	
ConorLib	HIS3	1	3	6	
ConorLib	HIS3	1	3	7	
ConorLib	HIS3	1	3	8	
ConorLib	HIS3	1	3	9	
ConorLib	HIS3	1	3	10	
ConorLib	HIS3	1	3	11	
ConorLib	HIS3	1	3	12	
ConorLib	SPE1	1	4	1	
ConorLib	SPE1	1	4	2	
ConorLib	SPE1	1	4	3	
ConorLib	SPE1	1	4	4	
ConorLib	SPE1	1	4	5	
ConorLib	SPE1	1	4	6	
ConorLib	SPE1	1	4	7	
ConorLib	SPE1	1	4	8	
ConorLib	SPE1	1	4	9	
ConorLib	SPE1	1	4	10	
ConorLib	SPE1	1	4	11	
ConorLib	SPE1	1	4	12	
ConorLib	HIS3	1	5	1	
ConorLib	HIS3	1	5	2	
ConorLib	HIS3	1	5	3	
ConorLib	HIS3	1	5	4	
ConorLib	HIS3	1	5	5	
ConorLib	HIS3	1	5	6	
ConorLib	HIS3	1	5	7	
ConorLib	HIS3	1	5	8	
ConorLib	HIS3	1	5	9	
ConorLib	HIS3	1	5	10	
ConorLib	HIS3	1	5	11	
ConorLib	HIS3	1	5	12	
ConorLib	SPE1	1	6	1	
ConorLib	SPE1	1	6	2	
ConorLib	SPE1	1	6	3	
ConorLib	SPE1	1	6	4	
ConorLib	SPE1	1	6	5	
ConorLib	SPE1	1	6	6	
ConorLib	SPE1	1	6	7	
ConorLib	SPE1	1	6	8	
ConorLib	SPE1	1	6	9	
ConorLib	SPE1	1	6	10	
