Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	513.0	342.0	380	0.051421691429258336	0.36272139210945087	0.058370347920023734	0.22604058312514422	0.015377595988367567	-0.01746921062389838	0.012622804400770992	0.049875655306866169	102.69635158490495	95.414715210909165	78.126849372305472	52.713300471310589	51.824555714100406	49.323950361049853	121.0	112.0	89.0	51.0	50.0	49.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
2	1	900.0	340.0	380	0.09391554641354817	0.50307589504067896	0.096393289723019596	0.26195824669936296	0.013170707682731708	-0.0071123524265178668	0.017320079660793321	0.050144322510867242	110.92196037082175	103.29869774193106	84.593410656332594	53.719272465134331	53.470138908143177	51.448637258435689	132.0	121.0	95.0	53.0	53.0	51.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
3	1	1287.0	337.0	380	0.09500020794290831	0.52013970694608058	0.094174548553478857	0.25174646667485318	0.012144245644917239	0.00073078482838409445	0.021461850144420726	0.045804313830849881	107.30815585929223	100.78806420851875	83.397038567493112	55.288154815739986	55.224255997243638	53.303616291255722	127.0	119.0	94.0	55.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
4	1	1675.0	335.0	380	0.095961969698487415	0.52806883391544557	0.093400921811865198	0.24390332941995119	0.012163482335375236	0.0046523534558350751	0.022806428407256055	0.044770978430845751	105.64229339247277	99.802022046833216	83.485408649142258	56.118442180246987	56.216346013487872	54.307535106414036	125.0	117.0	93.0	56.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
5	1	2062.0	333.0	380	0.085233614362969945	0.50948257452070456	0.082354555522500317	0.17887195615287091	0.012191401346695168	0.0046523534558350751	0.023012194726422353	0.043778976446841783	101.07742336763255	95.929661830523145	81.332328244790887	56.176001348238863	56.331835290152242	54.552131902702094	105.0	100.0	86.0	56.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
6	1	2449.0	331.0	380	0.082185842910506346	0.52173104346208687	0.078972484776528587	0.13865236123482558	0.012292782022428337	0.0046523534558350751	0.018621553094355484	0.049248765164196996	97.909883145177261	93.315415593846964	80.112682379349053	56.368853167401262	56.524414484487082	54.954440699449776	94.0	90.0	78.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
7	1	2836.0	330.0	380	0.067450793034927736	0.52239237811808958	0.063686247655446684	0.072813139804065771	0.011156835617523241	0.0057817731192082366	0.0096991585888981866	0.068282803232273134	89.475412430272584	85.687832153077238	75.626959950416051	56.662656858502814	56.809375450742827	55.318808596567145	76.0	73.0	67.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
8	1	3223.0	334.0	380	0.0418819107926902	0.51823148090740623	0.038029355389232238	0.041354303828269205	0.0065774679867501157	0.0057817731192082366	0.016353609598791657	0.052376326974876174	75.653302670583699	73.26697861140282	67.282877158467045	56.665541796551032	56.802914176223297	55.600866531300937	67.0	65.0	61.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
9	1	3605.0	306.0	380	0.047037621673547338	0.53357306714613428	0.042162411443848705	0.05712686529426185	0.0063819558970981977	0.0094680422435571947	0.0093186268967698441	0.070404585253614954	77.514382730394814	74.507165543419319	68.622705089472461	57.41824331309909	57.348767483421213	56.308697771279185	71.0	69.0	64.0	57.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
10	1	3998.0	322.0	380	0.031901923087667282	0.36431272862545727	0.024814125116635551	0.059832757221345186	0.0039700145535164289	0.0094680422435571947	0.045470063901385346	0.026336274894772013	74.786608425988959	71.623288707359507	66.229672490734444	57.739284978922157	57.479328543407348	56.354747120084092	72.0	69.0	65.0	57.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
11	1	4385.0	320.0	380	0.031572337445168963	0.49556699113398228	0.030486339478340719	0.034279805632995	0.0073210539419440047	0.0016249049886552342	0.014707202124198834	0.054008996906882704	72.745388325896272	70.086547951679947	64.746403102714879	55.394119414399647	55.167171965475802	54.286572708401614	65.0	63.0	60.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
12	1	4772.0	317.0	380	0.031216181631568234	0.56284401457691802	0.03154044378392102	0.0097464702651564594	0.0092273825398670392	-0.0059398042446474619	0.0062324115166137312	0.088419065727020338	71.841462369802827	68.69010929831218	62.048713021553674	55.35828421948375	54.296668662737559	52.387988906048093	59.0	57.0	54.0	54.0	53.0	52.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
1	2	488.0	718.0	380	0.068262553556450389	0.39720723885892217	0.079498669058366639	0.26890724883439665	0.015648270113070028	-0.018877058308870806	0.023505963374484812	0.038247187605486323	114.44884580030872	105.44922735392566	83.363880747151356	50.2235148910882	49.98190898493749	48.036959155219307	135.0	123.0	94.0	50.0	50.0	48.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
2	2	886.0	719.0	380	0.062227169357748455	0.30951839681457138	0.069823571851673122	0.26867196429089174	0.010468321926777342	-0.011033921053968847	0.021681790610317817	0.03515407030814062	121.10696639216559	111.99657244602716	89.101446694858666	51.962317047619997	51.964970917181311	50.351498039528686	134.0	123.0	95.0	52.0	52.0	50.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
3	2	1270.0	718.0	380	0.064273486952357517	0.29890948670786233	0.066658222745344442	0.26398177156341013	0.0098997239446286505	-0.003190783799066886	0.024704353281182326	0.032364064728129457	119.57112237842821	111.61675501267572	89.307444111546445	53.765650332609489	53.986204321466822	52.214422576175927	131.0	122.0	95.0	54.0	54.0	52.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
4	2	1677.0	722.0	380	0.059866115918516774	0.29452814461184479	0.059266038733537467	0.24829549705360621	0.01045713933004431	0.00073078482838409445	0.024890189666267201	0.032005841789461358	112.74500631519858	106.20189923749824	86.37208214436076	54.782290273125859	55.128272481373344	53.178532717490015	126.0	118.0	93.0	55.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
5	2	2064.0	720.0	380	0.052388510198522864	0.29300569712250535	0.050766081683816966	0.21730334066956822	0.011541523315736201	0.0016249049886552342	0.011374202655518553	0.047223427780188891	104.09479698116756	99.155855453412642	82.789857287282814	55.080796663678527	55.507610008964413	53.6728475659664	117.0	110.0	90.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
6	2	2446.0	711.0	380	0.035624097826122171	0.27687877597977417	0.032822491370272322	0.095558249810959159	0.011827526192798339	0.0027543096924312759	0.0057160204587180154	0.064755685066925694	88.118033439490446	85.17185011942675	74.310186106687894	55.361887795444368	55.947803637264336	54.202078708952165	82.0	79.0	70.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
7	2	2839.0	716.0	380	0.016783080397909135	0.24676049352098703	0.013879653880763907	0.010362162403828335	0.0069186466255321075	0.0046523534558350751	0.012783222895007241	0.040878748424163516	70.083752093802346	69.338581797878277	63.789168062534898	55.307377836310259	55.930154287961514	54.391774357285925	57.0	58.0	56.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
8	2	3226.0	713.0	380	0.0074864834022777844	0.16802722494333877	0.0042997553709905765	0.0055464736161062143	0.003459520018850745	0.0046523534558350751	0.10681018277399454	0.011669801117380012	61.494362674757085	61.447501127465046	58.372883440613343	55.369495735695949	55.854235323341889	54.565504678314149	56.0	56.0	55.0	55.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
9	2	3614.0	730.0	380	0.008180867434831509	0.17701724292337473	0.0043097680342155985	0.0055464736161062143	0.0030892068172497559	0.0046523534558350751	0.12319176857376304	0.011153133417377946	61.246808841843091	61.028798256537982	58.397649439601494	55.604545264303354	56.047620642029045	54.906943456242416	56.0	56.0	55.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
10	2	3996.0	725.0	380	0.0084392448335933838	0.14738118365125619	0.0038243330559204372	0.0085739220832860546	0.0029115637949521499	0.0055464736161062143	0.12441340780397063	0.010126686920040507	61.789894362905486	61.360428157427314	58.849023090586144	55.895012402336647	56.144949784676044	55.229616941511068	57.0	57.0	56.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
11	2	4361.0	741.0	380	0.0025529695666618103	0.14308939728990569	0.00099110499225370761	0.0016249049886552342	0.00061524165671651015	0.0016249049886552342	1.1328823091616944	0.0033066732800132266	56.478888835395502	56.49227288045833	55.296037744932839	55.119945333226141	55.165125813972182	54.277522308867269	55.0	55.0	55.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
12	2	4775.0	705.0	380	0.0	0.17004567342468019	0.0032314351187548041	-0.0020182356171964816	0.0037522665307845034	-0.003190783799066886	0.1425743371421278	0.010161131433373978	60.516123804893859	59.499392318911035	56.237157672986548	53.756625745993013	53.599848933821391	52.234775102301683	55.0	54.0	53.0	54.0	54.0	52.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
1	3	517.0	1116.0	380	0.090543971082350141	0.45173290346580691	0.099658501813487177	0.28742881578637275	0.016619084617736136	-0.017704510127000403	0.022821129338498725	0.041395416124165585	119.81697014060451	110.78788849239028	87.582425961509131	50.675537462148341	50.540829532461331	48.482566248256624	140.0	128.0	98.0	50.0	50.0	48.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
2	3	883.0	1113.0	380	0.084598496783718863	0.36799829155213865	0.092193954100365183	0.29635822922655353	0.012313826128769072	-0.011033921053968847	0.020719336080686431	0.039211633978823511	127.68490611954547	118.55641251240195	93.859132518392329	51.690490723986834	51.751215364827452	49.891358374572171	141.0	130.0	101.0	52.0	52.0	50.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
3	3	1275.0	1106.0	380	0.089032817285830193	0.36849429254414062	0.092787501601962544	0.29635822922655353	0.01210506462053796	-0.0062182322662467267	0.021109137095441089	0.038874077748155496	127.49905591594847	119.08965994279411	94.449496176926957	53.069521108323336	53.398560052361731	51.375248172793718	141.0	131.0	101.0	53.0	53.0	51.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
4	3	1667.0	1105.0	380	0.087219109586528815	0.36398206129745592	0.088422768706698587	0.29522883948237461	0.013155712557844005	-0.003190783799066886	0.021656623605133114	0.038143854065485906	124.76618214853509	116.84361041713983	93.341547429782722	54.083141077714593	54.47694557270512	52.230154346060111	140.0	130.0	101.0	54.0	54.0	52.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
5	3	2059.0	1100.0	380	0.082345733172630609	0.3657938426987965	0.082533997383628002	0.28706413072777903	0.015338874210961116	0.00073078482838409445	0.024245973921850072	0.036139183389477893	119.18618053070679	112.67805420064408	90.724269760259133	54.230996502357108	55.029697377854056	52.56536899046295	137.0	128.0	100.0	54.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
6	3	2447.0	1103.0	380	0.072700133460149641	0.36133672267344535	0.071997875780659873	0.27244058599738685	0.017550918634010752	0.00073078482838409445	0.01767323598823994	0.042070528585501615	111.27907420117441	106.00051475634866	86.848566308243733	54.520920299000096	55.429958256479956	52.867542525536898	132.0	125.0	99.0	54.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
7	3	2841.0	1103.0	380	0.061795263685197874	0.37093296408815041	0.060501320148046794	0.20240136791757679	0.018164825738943766	0.0018602044917572563	0.007130962598903951	0.067104800876268425	100.67181725322685	96.734460024143374	81.523056922648337	54.757906610013578	55.62798414297604	53.367755924482019	112.0	107.0	88.0	55.0	56.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
8	3	3228.0	1101.0	380	0.041208303280572026	0.32249020053595662	0.038734284129654566	0.025220976718128275	0.017966978997652299	0.0027543096924312759	0.0083431111860228294	0.057846115692231387	88.145151987695726	85.816034007647445	74.423472112447399	55.162992638386136	56.010696709643305	53.901777362020582	62.0	62.0	57.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
9	3	3615.0	1098.0	380	0.027472764126078287	0.30426905298255041	0.024899173885343434	0.0096817700076120353	0.014021888237578052	0.0046523534558350751	0.013970854956914839	0.043420753508173683	77.459676689005619	75.796323129867773	68.422070277123709	55.256146465596629	55.886992167774004	54.400631726951374	57.0	57.0	56.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
10	3	3994.0	1117.0	380	0.013174943513868741	0.19349549810210731	0.010373805090380248	0.0055464736161062143	0.01023673626507454	0.0027543096924312759	0.04603464188214438	0.019075371484076301	69.638742523497584	68.48340928510396	63.466035317573343	55.375731381274932	55.702305399195374	54.532582235015759	56.0	56.0	55.0	55.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
11	3	4402.0	1083.0	380	0.012951746138616117	0.23697136283161455	0.01152270947866718	0.0046523534558350751	0.009846891094685022	0.0016249049886552342	0.035571396541278728	0.024014714696096059	68.463298351696267	67.110933457367949	62.459257536556294	55.123670572940178	55.199102580307326	54.205043245878549	56.0	56.0	55.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
12	3	4777.0	1092.0	380	0.0044162025778955302	0.19039549190209493	0.0046250354322051618	0.0016249049886552342	0.0048505055066553719	0.00073078482838409445	0.22478856724910268	0.0085629060147009179	61.789673637745132	60.888740140386425	57.572255590129529	54.768487870459403	54.663887068914171	53.126264646069281	55.0	55.0	54.0	55.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
1	4	493.0	1494.0	380	0.069136500062660131	0.3929016746922383	0.078600937103086521	0.26082882703598981	0.013551903978726902	-0.014955489681419827	0.025543696734861482	0.036490517425479298	113.87889679840096	105.5972577760634	83.891573447417329	50.870300815868006	50.832991024317181	48.781656019154177	132.0	121.0	93.0	51.0	51.0	49.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
2	4	907.0	1501.0	380	0.056774482666361259	0.29970859941719885	0.064608668026692989	0.25618177778660256	0.0094053678110502369	-0.011033921053968847	0.025251833346349721	0.032054064108128215	117.63857858686158	109.76538868202087	87.282397830184337	51.778279474693818	52.035345039594709	50.057036053317596	130.0	120.0	93.0	52.0	52.0	50.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
3	4	1294.0	1499.0	380	0.061152641709035956	0.31177795688924709	0.064818278488922548	0.24801706903200696	0.0087717229200813887	-0.0062182322662467267	0.02688923229265253	0.031682063364126725	114.73852136638827	108.08756462945777	86.365239294710321	53.173638429276401	53.597339419236661	51.464050128624763	126.0	118.0	92.0	53.0	53.0	51.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
4	4	1681.0	1497.0	380	0.061203448171373166	0.32918621392798342	0.062862390195867382	0.23209548005950389	0.009077644351097593	-0.003190783799066886	0.026458057061001919	0.032818732304131272	109.3718321649053	103.8501203306477	84.377356911164597	53.777665954650018	54.420894265527437	52.021401577390733	121.0	114.0	91.0	54.0	54.0	52.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
5	4	2069.0	1495.0	380	0.047101389386055972	0.30235393804120941	0.046986758596154386	0.19362098198390645	0.010991481635492148	0.00073078482838409445	0.008068160126688215	0.056957447248227829	98.572499430394174	94.872317156527686	79.387969924812026	54.237175499402596	55.223519072587415	52.582693959771305	109.0	104.0	86.0	54.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
