	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene	ID
0	1	1	513.0	342.0	380	0.0	0.362721392109	0.0	-0.0140613695211	0.00256912702743	-0.0176613666489	0.0209116321804	0.0387500775002	55.5718762464	54.4809602492	52.1699808178	52.7020149609	51.8959657543	50.396862974	51.0	51.0	50.0	51.0	50.0	50.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C01
1	2	1	900.0	340.0	380	0.00205420248424	0.503075895041	0.0047051481825	-0.0022966636388	0.000920277884452	-0.00901039618992	0.03435961698	0.0356018489815	57.6134580361	56.9386254399	55.449176332	53.2866054842	53.2853716694	52.7551778634	54.0	54.0	54.0	52.0	53.0	52.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C02
2	3	1	1287.0	337.0	380	0.0128989512282	0.520139706946	0.0119368245985	0.00857392208329	0.00112333328866	0.000495500284879	0.054774153214	0.0286716128988	61.2490861411	60.4382284382	58.3069771138	55.0104512109	55.2190303918	54.6950198831	57.0	57.0	56.0	54.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C03
3	4	1	1675.0	335.0	380	0.0175608037444	0.528068833915	0.014539062207	0.013389610871	0.00102890408123	0.00554647361611	0.077876354853	0.0242282706788	62.2674059096	61.6425803927	59.6867653773	56.039850524	56.4140221294	55.6793857472	58.0	58.0	57.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C04
4	5	1	2062.0	333.0	380	0.0180883342924	0.509482574521	0.0145321806356	0.013389610871	0.00103074982434	0.00554647361611	0.0858612791388	0.0226644897734	62.4457455008	61.9376800032	59.9159917249	56.2580332566	56.6374782316	55.8508510758	58.0	58.0	57.0	56.0	56.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C05
5	6	1	2449.0	331.0	380	0.0179267310564	0.521731043462	0.013720831778	0.0105974469473	0.0010383072582	0.00667587831988	0.118496848989	0.0195231501574	61.709922757	61.4131247112	59.5705156137	56.6235704203	57.0591997234	56.1747616167	57.0	58.0	57.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C06
6	7	1	2836.0	330.0	380	0.0221646663151	0.522392378118	0.0169410282773	0.0145190155748	0.00113183466822	0.00946804224356	0.0466422806238	0.0311378400535	63.6167398557	62.9156545476	60.5467420976	57.2483484783	57.5906101255	56.5935381509	58.0	59.0	58.0	57.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C07
7	8	1	3223.0	334.0	380	0.0245733944274	0.518231480907	0.0186443868663	0.0184405842022	0.00100940332685	0.0105974469473	0.0492535003591	0.0301802825828	64.7065681205	63.7710130671	61.2186183152	57.6442073955	57.9164211971	56.9413589956	60.0	60.0	59.0	57.0	58.0	57.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C08
8	9	1	3605.0	306.0	380	0.0394902440164	0.533573067146	0.0320948038062	0.0397111715998	0.00402963096681	0.013542557792	0.011552154152	0.0632332375776	71.7569654246	69.7840912025	65.8376197485	58.7336021386	58.73078116	57.828865553	65.0	64.0	62.0	58.0	58.0	58.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C09
9	10	1	3998.0	322.0	380	0.0332382405173	0.364312728625	0.0223725093514	0.0578092323573	0.00222376223785	0.0164170593382	0.0200721754962	0.0396387459442	72.4632213902	70.0028931246	65.6758187732	59.1826565666	59.0151392005	57.954690768	71.0	69.0	65.0	59.0	59.0	58.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R01C10
