Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	343.5	285.0	136	0.036810210853389758	0.30252011295220843	0.027504825189447968	0.057365091405153418	0.012150673676389745	0.0072552730026947806	0.070363318092450541	0.053652299003676275	109.9929552659387	118.54420570623459	113.46407185628742	85.82835535864335	99.349094797952787	102.15239477503629	100.0	110.0	109.0	84.0	98.0	101.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
2	1	487.5	282.0	136	0.021717726335293851	0.31466780329266342	0.015624311635786255	0.053741562831126154	0.001540526309241771	0.0058474253177223543	613.36351114384524	0.00058607277958335553	95.758550626481551	108.50998984083982	110.1608533694548	82.263391121822281	98.834641996423855	104.19707688719583	97.0	110.0	111.0	81.0	98.0	104.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
3	1	620.5	296.0	136	0.021980976460762091	0.34215994458948268	0.013949784549689327	0.037776860299722964	0.00062173015862004551	0.0081062646444686783	0.0	0.0	90.841482404235435	106.96838990968546	111.12410464029897	81.513323074431042	100.17753300396858	106.66979833157852	90.0	106.0	111.0	80.0	99.0	106.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
4	1	761.5	282.0	136	0.037643843639774979	0.51228088869945121	0.027358492822217952	0.050392527904655565	0.0009823080510938931	0.018016070241512184	3356.2681515850954	0.00031967606159092119	93.562350494019768	110.38044721788872	114.68226729069163	83.2075595368145	102.6332750710072	109.44494210181341	92.0	110.0	115.0	82.0	102.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
5	1	900.5	293.0	136	0.030680931606028514	0.35350844477596038	0.016522971237096042	0.045619997554624925	0.00037124797116860691	0.018016070241512184	83377.869026273111	5.3279343598486864e-05	90.603918613413711	109.03134890730972	114.47912584777694	82.704466787539147	103.11125762320752	110.11735618922037	90.0	109.0	114.0	82.0	102.0	110.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
6	1	1025.5	298.0	136	0.029416749702004166	0.36714795673717299	0.014352866436400125	0.038349394000703356	0.00028801738203405533	0.01910234642679098	86594.859903549062	5.3279343598486864e-05	87.529386155855462	107.47162966187781	113.46887244231607	82.651203906381539	103.85022731099512	110.70979962956727	87.0	107.0	113.0	82.0	103.0	110.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
7	1	1167.5	286.0	136	0.033300542307622853	0.39538600884437103	0.018409848200052363	0.046192531255605324	0.00034592429366548576	0.021894495390868799	0.0	0.0	89.566230966177059	109.40385392804204	114.88397790055248	82.568822700035255	104.19289742685936	111.00740218540712	89.0	109.0	115.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
8	1	1308.5	282.0	136	0.035211238601613466	0.45452608023869145	0.020943688590959748	0.045298426054931298	0.00044349069005667505	0.021937638868963164	26800.926927774526	0.00010655868719697373	89.378267495018164	109.34603211815731	114.59289649513539	82.996092986911506	104.62531744481343	111.07765188513382	89.0	109.0	114.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
9	1	1445.5	282.0	136	0.034302674848700594	0.46337045127604026	0.021469748707966627	0.04642784571830446	0.00038582501536225982	0.019996451627465002	1092.8972523308173	0.0005327934359848687	89.46015867540531	109.47315166149247	114.29573416120502	82.293486894360598	104.15577839555202	110.32247815726767	89.0	110.0	114.0	81.0	104.0	110.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
10	1	1571.5	288.0	136	0.029093495986089787	0.55948638712771059	0.019260785758876658	0.027670964303629218	0.00030781585249417288	0.018016070241512184	32989.864455346418	0.00010655868719697373	85.730311398914395	106.67688791543662	111.84030092372156	81.945331398161585	103.78846153846153	109.56386066763426	84.0	105.0	111.0	81.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
11	1	1718.5	282.0	136	0.033835874864425367	0.44973093931482766	0.021930645221913438	0.049219994682382279	0.00053107373396977121	0.018016070241512184	106072.73435580578	5.3279343598486864e-05	90.441416893732963	110.0845871342258	114.00935908067764	81.737606506584044	103.59817970565453	109.55460883036406	90.0	110.0	114.0	81.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
12	1	1843.5	293.0	136	0.034893464979302784	0.49949384623581439	0.023721023341766092	0.045298426054931298	0.00053491535652457946	0.01910234642679098	117809.72450961724	5.3279343598486864e-05	89.751893333333328	109.93952	113.71552	81.512454758356398	104.03629976580797	109.42591015541835	88.0	109.0	114.0	81.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
13	1	1994.5	282.0	136	0.046785934644266655	0.57989237572593111	0.036949748913229115	0.057063131937284239	0.00099327210013505033	0.021894495390868799	0.0	0.0	95.002296949650869	113.78077912532157	116.46545387725101	81.902726696258725	104.23563728598604	109.81674064679771	93.0	112.0	116.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
14	1	2125.5	286.0	136	0.039396511398111671	0.55271991049070279	0.029933764134785521	0.049519994443028723	0.00091001657617574908	0.018016070241512184	14484.83652815134	0.00015983803079546059	92.194621168305375	111.38692886061307	114.76903797956429	81.550923168552714	103.54032162001191	109.27051816557474	91.0	110.0	114.0	81.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-10_22-35-16
