Barcode	Row	Column	Col	ScreenID	Treatment	Medium	ORF	Screen.Name	Library.Name	MasterPlate.Number	Timeseries.order	Inoc.Time	TileX	TileY	XOffset	YOffset	Threshold	EdgeLength	EdgePixels	RepQuad	K	r	g	v	objval	tshift	t0	d0	nAUC	nSTP	Gene	MDP	MDR	MDRMDP	glog_maxslp	DT	AUC	fit
DLR00012733	1	1	1	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	276	217	NA	0.0240822633065161	0.0240822633065161	1	0.0440810877637894	17.8415245238531	1.1e-05	1	0.00454911892873784	0	0.0238888888888889	0.0394833599485276	0.119315357283648	0.0538471029661339	HIS3	11.9684405858208	25.7306121984618	307.955303334087	0.196618452093943	0.932741118434591	0.199853765900338	307.955303334087
DLR00012733	1	2	2	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	420	214	NA	0.00911076775534125	0.00911076775534125	1	0.0350994601544999	9.04995420078086	1.1e-05	1	0.00412758616183745	0	0.0238888888888889	0.0239986478828928	0.0772210873729852	0.0481228570564815	HIS3	11.6397296023134	13.0504207368148	151.903368572947	0.0794121267175892	1.83902116904912	0.144151087109083	151.903368572947
DLR00012733	1	3	3	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	552	228	NA	0.0393734349192818	0.0393734349192818	1	0.0508111026651429	5.10644544706814	1.1e-05	1	0.00473642550682589	0	0.0238888888888889	0.0247197436555444	0.0859557146317969	0.0595262700546842	HIS3	12.1734245336932	7.36474257280099	89.6541379200701	0.0648660309662326	3.25876970752994	0.170039407512455	89.6541379200701
DLR00012733	1	4	4	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	694	214	NA	0.0475784538334488	0.0475784538334488	1	0.0743733245314388	5.62875974190521	1.1e-05	1	0.0077295585814713	0	0.0238888888888889	0.0396255407561288	0.138052810138871	0.089403376147569	HIS3	12.7230660238179	8.11885099583862	103.296677257595	0.104657393748554	2.95608331921615	0.255285921395223	103.296677257595
DLR00012733	1	5	5	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	832	225	NA	0.0276519793276147	0.0276519793276147	1	0.0496489542965616	9.68176861930101	1.1e-05	1	0.00546351423083771	0	0.0238888888888889	0.032803292378638	0.112103053220343	0.0647715381055778	HIS3	12.1400440930253	13.9633748783147	169.515986710182	0.12017242192239	1.71878218619427	0.2050377444481	169.515986710182
DLR00012733	1	6	6	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	958	230	NA	0.0521071980393202	0.0521071980393202	1	0.0652605210058264	5.33871559013748	1.1e-05	1	0.00618570763660251	0	0.0238888888888889	0.0314327519745471	0.113059275659576	0.0785186035650229	HIS3	12.5344912661097	7.70026553062874	96.5189110403912	0.0871018402285749	3.11677563644229	0.220042370431236	96.5189110403912
DLR00012733	1	7	7	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1100	218	NA	0.0409718152272364	0.0409718152272364	1	0.0538709632094669	9.92453563680931	1.1e-05	1	0.00611470054829742	0	0.0238888888888889	0.0361268743201485	0.121013940541371	0.0728048110284551	HIS3	12.2577886216172	14.3138603878635	175.456274993771	0.1336610735404	1.67669652697949	0.223180576842551	175.456274993771
DLR00012733	1	8	8	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1240	214	NA	0.0477915712078427	0.0477915712078427	1	0.059483309727144	9.56722291349411	1.1e-05	1	0.00657160519774705	0	0.0238888888888889	0.0374863154555797	0.129893298444367	0.0805218346158831	HIS3	12.4007656839261	13.7989026000397	171.116957838411	0.142272520948	1.73926874445298	0.243919488100008	171.116957838411
DLR00012733	1	9	9	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1378	214	NA	0.0581277638659492	0.0581277638659492	1	0.063644503653164	8.55741415214718	1.1e-05	1	0.00675587324102192	0	0.0238888888888889	0.0359526680127712	0.130550784241014	0.0846246341533641	HIS3	12.4983166891046	12.3426605412645	154.262480230839	0.136158094066992	1.94447541676789	0.253736448992233	154.262480230839
DLR00012733	1	10	10	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1504	220	NA	0.056795780275987	0.056795780275987	1	0.113401048005472	3.67994023252985	1.1e-05	1	0.0075503686639012	0	0.0238888888888889	0.0312740207801844	0.124520740426228	0.122891336958406	HIS3	13.3316428289307	5.308288560061	70.7682071156323	0.104327269741597	4.52123122706129	0.282189254831395	70.7682071156323
DLR00012733	1	11	11	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1650	214	NA	0.0413980499760243	0.0413980499760243	1	0.0675194440122147	5.75877409564878	1.1e-05	1	0.00684508989672807	0	0.0238888888888889	0.0362642262903113	0.128967751362158	0.0779055835440506	HIS3	12.5835837851568	8.30620207778675	104.521789782273	0.0972073062825375	2.88940718937998	0.235276843679038	104.521789782273
DLR00012733	1	12	12	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1776	225	NA	0.0462997495870851	0.0462997495870851	1	0.0808126850273777	5.37474780304976	1.1e-05	1	0.00731755293901671	0	0.0238888888888889	0.0370979132704654	0.137748235759545	0.0939892336689456	HIS3	12.8428625290094	7.75259926867832	99.5655666501342	0.108586950327363	3.09573591620602	0.270161394852524	99.5655666501342
DLR00012733	1	13	13	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	1926	214	NA	0.0360168362725771	0.0360168362725771	1	0.0738282727310913	10.6776809921062	1.1e-05	1	0.0080069560689667	0	0.0238888888888889	0.0481629724312291	0.170751501639326	0.096819993112983	HIS3	12.7124541668703	15.4013261065348	195.788652238346	0.197078686105201	1.55830737132543	0.308160649709789	195.788652238346
DLR00012733	1	14	14	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	2058	218	NA	0.0376152165805317	0.0376152165805317	1	0.0890934322659017	5.44288032042209	1.1e-05	1	0.00831917263774734	0	0.0238888888888889	0.0416031678275112	0.15265830499881	0.104879833482132	HIS3	12.9835998448855	7.85101773561553	101.934472654331	0.121231222289734	3.05692851655727	0.298100377869842	101.934472654331
DLR00012733	1	15	15	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	2198	213	NA	0.0429431509403804	0.0429431509403804	1	0.0688299190849273	9.80103664987806	1.1e-05	1	0.00758410431284855	0	0.0238888888888889	0.0428243493583388	0.150561545333633	0.0931395329237095	HIS3	12.6113165748624	14.1366467984824	178.281728082677	0.168651139889879	1.69771518961459	0.282705514077874	178.281728082677
DLR00012733	1	16	16	P15_cdc13-1	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	YOR202W	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	10	2009-11-09_19-26-14	136	136	2322	223	NA	0.0450210453407214	0.0450210453407214	1	0.0748350252242619	5.23233915783914	1.1e-05	1	0.0068609977646887	0	0.0238888888888889	0.0340541509924021	0.122106508278378	0.0909734078110081	HIS3	12.7319944172616	7.54706895775528	96.0892398368287	0.0978905582146963	3.18004249521768	0.247899327991006	96.0892398368287
