	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene	ID
0	1	1	343.5	285.0	136	0.0394833599485	0.302520112952	0.0275408772175	0.0584317555586	0.0117993737029	0.0106474514073	0.0683130161384	0.0544514891577	110.100563579	118.67418105	112.779147587	86.7550989229	100.492475747	102.291574364	100.0	110.0	109.0	85.0	99.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C01
1	2	1	487.5	282.0	136	0.0239986478829	0.314667803293	0.0156718666241	0.0585572366593	0.00178696696774	0.00819255160066	1514.63234385	0.000372955405189	95.442600745	108.863867254	109.505418219	82.8414833243	99.9246676514	104.357614864	98.0	111.0	111.0	82.0	99.0	104.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C02
2	3	1	620.5	296.0	136	0.0247197436555	0.342159944589	0.0139963659837	0.0347062533949	0.000719845045163	0.0120278332719	0.0	0.0	90.6329803799	107.24883214	110.531454376	82.4321697578	101.429982992	106.965011744	88.0	106.0	110.0	81.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C03
3	4	1	761.5	282.0	136	0.0396255407561	0.512280888699	0.0275384410022	0.0427847051125	0.0011153386924	0.0198709705268	0.0	0.0	93.4178887155	110.705356214	114.173894956	83.9765129998	103.798339524	109.69248416	90.0	109.0	113.0	83.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C04
4	5	1	900.5	293.0	136	0.0328032923786	0.353508444776	0.0162653556153	0.0434003822915	0.000435736197613	0.021937638869	0.0	0.0	90.0889223813	109.109721176	113.796232102	83.3775342014	104.340777979	110.255727707	90.0	109.0	113.0	82.0	103.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C05
5	6	1	1025.5	298.0	136	0.0314327519745	0.367147956737	0.013985507776	0.0308670523091	0.000309865754053	0.0230239150542	0.0	0.0	86.9573356552	107.478595269	112.69525468	83.5468934164	104.998147836	110.873884492	85.0	106.0	112.0	82.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C06
6	7	1	1167.5	286.0	136	0.0361268743201	0.395386008844	0.0186492602199	0.0463847022402	0.000399238012476	0.0258160640183	0.0	0.0	89.4915779545	109.800835467	114.39010915	83.5397426859	105.515597462	111.220743743	89.0	110.0	114.0	82.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C07
7	8	1	1308.5	282.0	136	0.0374863154556	0.454526080239	0.0210529295995	0.0356827261373	0.00049808569616	0.0258592074964	0.0	0.0	89.1644590318	109.677177353	113.986168093	83.802988865	105.906427037	111.2462395	86.0	108.0	113.0	83.0	105.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C08
8	9	1	1445.5	282.0	136	0.0359526680128	0.463370451276	0.0211208272963	0.041612141971	0.000440147415904	0.0237493956762	0.0	0.0	88.7524433713	109.652408877	113.544555594	82.8740071485	105.439733916	110.520750596	87.0	109.0	113.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C09
9	10	1	1571.5	288.0	136	0.0312740207802	0.559486387128	0.0197074610751	0.0277141077817	0.000288741463181	0.0218944953909	0.0	0.0	85.6267974479	107.146176555	111.481192267	82.7434687954	105.017053701	109.948476052	83.0	106.0	111.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C10
10	11	1	1718.5	282.0	136	0.0362642262903	0.449730939315	0.02207094691	0.0492199946824	0.000642503320465	0.0225768624539	63.1009722521	0.00218445308754	90.1408600877	110.47257434	113.497689847	82.4349341596	104.996998451	109.82387684	90.0	110.0	113.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C11
11	12	1	1843.5	293.0	136	0.0370979132705	0.499493846236	0.0238456403326	0.039435670186	0.000599574048072	0.0237493956762	0.0	0.0	89.41344	110.294293333	113.334506667	82.4497551629	105.270066	109.909836066	86.0	108.0	113.0	82.0	105.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3	DLR00012733_R01C12
