Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	Date.Time	Inoc.Time	Treatments	Medium	Screen.Name	RepQuad	MasterPlate.Number	Timeseries.order	Library.Name	ORF	Gene	ScreenID	Client	ExptDate	User	PI	Condition	Inoc	Expt.Time	Growth
1	1	523	428.5	174	0.000550580272148	0.0267428571429	0.000180652880293	0	0.000864231018714	0	0.240188978346	0.00675918367347	82.4065934066	83.5433455433	84.9438339438	82.0968596927	82.6883177884	84.0175132524	81	82	84	81	82	84	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	EMPTY	EMPTY	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.000550580272148
2	1	692	435.5	174	0.0037774166737	0.810612244898	0.00372097629872	0.000894105200674	5.7442113258e-05	0	0.00385735788376	0.293648979592	84.2364954683	85.4191742195	87.1909365559	82.1732758621	83.6968965517	85.4627586207	84	85	87	82	84	86	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	YOR202W	HIS3	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.0037774166737
3	1	871	428.5	174	0.000291390003267	0.00189387755102	4.68782923326e-06	0.00332156910616	7.39903305632e-06	0	2.01897367211	0.000620408163265	84.1724137931	86.5344827586	88.6896551724	83.3012071842	85.6213563647	88.1356364707	84.5	87	88.5	83	86	88	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	EMPTY	EMPTY	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.000291390003267
4	1	1040	441.5	174	0.00334354657683	0.779885714286	0.00328411745753	0.00359999712776	2.71278913254e-05	0	0.00344641416251	0.304718367347	89.293585664	90.9494640764	92.4496734215	86.7702121347	88.7920189883	90.8225782525	90	91	93	87	89	91	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	YOR202W	HIS3	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.00334354657683
5	1	1219	428.5	174	0.000210634950269	0.000685714285714	3.42537210197e-06	0.00364314060585	1.23652184837e-05	0	0.422230052642	0.000816326530612	92.380952381	94.7619047619	95.6666666667	90.5975689452	92.3804731408	94.0517252647	93	95	96	91	92	94	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	EMPTY	EMPTY	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.000210634950269
6	1	1393	438.5	174	0.00276515712535	0.772963265306	0.00270170029633	0.00112941966337	2.05125491974e-05	0	0.00410082769329	0.278106122449	93.9416610341	95.7882308212	96.6585839811	92.2875017978	94.0952107004	95.5112900906	94	96	97	92	94	95	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	YOR202W	HIS3	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.00276515712535
7	1	1568	428.5	174	0.000284137062051	0.0189714285714	6.90614908073e-05	0.00359999712776	1.24682280105e-05	0	0.0695498144999	0.0105795918367	92.8743545611	95.2168674699	96.6351118761	93.034316336	95.1341698842	96.3024563973	93	95	97	93	95	96	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	EMPTY	EMPTY	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.000284137062051
8	1	1739	440.5	174	0.00252115782837	0.801697959184	0.00247840655305	0.00112941966337	1.58481563677e-05	0	0.0044904768333	0.27066122449	94.7546024764	96.8569973933	97.296961551	92.8685987156	95.0885888358	96.1042318459	95	97	97	93	95	96	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	YOR202W	HIS3	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.00252115782837
9	1	1916	428.5	174	0.000329886688074	0.00659591836735	1.33836601047e-05	0	6.47275748825e-06	0	0.781288662389	0.0018612244898	92.4752475248	94.4900990099	95.8663366337	92.9701212898	95.2894520593	96.0213654143	93	94	96	93	95	96	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	EMPTY	EMPTY	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.000329886688074
10	1	2083	438.5	174	0.00209339024184	0.757551020408	0.00200879070476	0	1.45416497082e-05	0	0.00578011545038	0.231902040816	93.6325431034	95.6852155172	96.1352155172	92.1907070707	94.4867340067	95.0985858586	94	96	96	92	94	95	K000343_027_001	K000343_027_001_2015-02-19_15-38-08	2015-02-19_15-38-08	2015-02-19_10-01-07	27	SDM_rhlk_CTGN	cdc13-1_RAD57_NATMX	1	2	1	MQ_KAN_V2_384	YOR202W	HIS3	MQFQFA0173	EMH	2015/01/12'	EMH	DAL	SDM_rhlk_CTGN	CONC	0.234039351851852	0.00209339024184
